ZipCode,Population,POPPERKMSQ,AREAMSQ,TotalCustomers,TotalkWh,CAT,MEDYRBUILT
91901,17123,74,231186275,8200.25,6759999.583333333,EXURBAN,1985
91902,18579,823,22578495,6228.25,2984659.0,SUBURBANEARLY,1976
91905,1099,6,170460504,296.0833333333333,157559.91666666666,EXURBAN,1981
91906,4071,15,273293335,1974.5,1096858.0833333333,EXURBAN,1975
91910,77320,2440,31685113,25715.5,9214050.75,SUBURBANEARLY,1971
91911,81872,2699,30335369,23910.083333333332,12499631.083333334,SUBURBANEARLY,1968
91913,40954,1551,26405765,15607.75,17350666.0,SUBURBANLATE,2001
91914,17516,1075,16301018,5117.25,2299742.3333333335,SUBURBANLATE,2003
91915,26271,1333,19707350,9732.25,4797003.583333333,SUBURBANLATE,2003
91917,884,9,93800037,217.25,241469.08333333334,EXURBAN,1956
91932,25827,3967,6509761,10174.25,4276333.083333333,URBAN,1969
91935,8238,33,250190777,2895.0,1954828.6666666667,EXURBAN,1984
91941,32413,1552,20889715,12926.833333333334,5923613.666666667,SUBURBANEARLY,1965
91942,38828,2570,15110883,17951.333333333332,6779576.5,SUBURBANEARLY,1969
91945,25719,2531,10162875,9290.833333333334,3673916.9166666665,SUBURBANEARLY,1964
91950,60784,3088,19682721,15938.166666666666,5747762.25,URBAN,1967
91977,60542,2420,25021651,19121.916666666668,8224019.0,SUBURBANEARLY,1974
91978,9276,560,16572889,2986.5833333333335,1520398.0,SUBURBANEARLY,1978
92003,4157,93,44886062,1787.9166666666667,1065944.5833333333,EXURBAN,1984
92004,2679,1,1796390585,2257.4166666666665,1204087.4166666667,EXURBAN,1981
92007,11273,1781,6330071,4667.0,2127498.3333333335,SUBURBANEARLY,1977
92008,26536,994,26695667,12402.416666666666,4820909.083333333,SUBURBANEARLY,1977
92009,42649,1293,32972522,16916.583333333332,7620383.833333333,SUBURBANLATE,1990
92010,14968,715,20925390,6213.25,2554505.1666666665,SUBURBANLATE,1987
92011,23120,1313,17611939,9729.583333333334,4171714.8333333335,SUBURBANLATE,1991
92014,13403,858,15617878,6466.916666666667,3360384.3333333335,SUBURBANEARLY,1976
92019,44406,639,69537012,15005.166666666666,7715048.916666667,SUBURBANLATE,1981
92020,57747,2002,28850466,21212.916666666668,9380867.25,SUBURBANEARLY,1971
92021,65175,844,77257884,21826.666666666668,11213687.416666666,SUBURBANEARLY,1975
92024,49048,1122,43704640,19910.916666666668,8882391.25,SUBURBANEARLY,1978
92025,49110,860,57095943,15827.833333333334,9097113.583333334,SUBURBANEARLY,1974
92026,49537,514,96380521,18283.916666666668,9238919.5,SUBURBANLATE,1983
92027,55461,340,163333252,16355.666666666666,7632668.833333333,SUBURBANEARLY,1977
92028,47282,193,244406248,16410.333333333332,8465920.25,SUBURBANLATE,1982
92029,20198,330,61216240,6887.416666666667,4603891.416666667,SUBURBANLATE,1984
92036,2807,6,462835422,2366.5,1324551.6666666667,EXURBAN,1976
92037,40114,1185,33842570,19963.416666666668,12163326.666666666,SUBURBANEARLY,1972
92040,41214,248,166238236,14310.583333333334,7824765.666666667,SUBURBANEARLY,1976
92054,42751,1382,30939534,16020.083333333334,5769199.166666667,SUBURBANEARLY,1974
92056,52182,1623,32145441,20574.833333333332,7905783.416666667,SUBURBANLATE,1984
92057,54901,1403,39120381,19819.583333333332,11516550.0,SUBURBANLATE,1986
92058,45943,629,73067693,7598.166666666667,4506478.333333333,SUBURBANLATE,1988
92059,1374,19,72142980,537.4166666666666,387005.5833333333,EXURBAN,1989
92061,2113,21,102845191,1001.6666666666666,726021.25,EXURBAN,1978
92064,48622,458,106071341,15932.916666666666,8124723.833333333,SUBURBANEARLY,1977
92065,37299,87,427786926,12283.083333333334,7453301.083333333,EXURBAN,1983
92067,8068,138,58320348,3904.1666666666665,5990714.25,SUBURBANLATE,1989
92069,46492,1091,42608681,15269.083333333334,9761002.833333334,SUBURBANLATE,1984
92071,54469,1207,45135786,19709.25,9513312.25,SUBURBANEARLY,1976
92075,12345,1346,9172349,6192.583333333333,4082709.1666666665,SUBURBANEARLY,1975
92078,44007,1018,43249718,17193.416666666668,7684499.833333333,SUBURBANLATE,1989
92081,27785,1212,22933231,11554.5,4439900.083333333,SUBURBANLATE,1986
92082,20559,65,318249096,6167.333333333333,3813437.4166666665,EXURBAN,1986
92083,37282,2584,14429019,11425.166666666666,8050261.416666667,SUBURBANEARLY,1977
92084,46811,691,67783594,15090.666666666666,7005005.916666667,SUBURBANEARLY,1977
92086,1343,2,570899199,452.25,440589.4166666667,EXURBAN,1986
